,Input,Final_Output
0,"G. Eysenbach, J. Med. Internet Res. 11, e11 (2009)","{""author"": ""G. Eysenbach"", ""journalName"": ""J. Med. Internet Res."", ""year"": 2009}"
1,"Vainchenker, W.; Kralovics, R. Genetic Basis and Molecular Pathophysiology of Classical Myeloproliferative Neoplasms. Blood 2017, 129, 667–679.","{""author"": ""W. Vainchenker, R. Kralovics"", ""journalName"": ""Blood"", ""year"": 2017}"
2,"Brodmann, S.; Passweg, J.R.; Gratwohl, A.; Tichelli, A.; Skoda, R.C. Myeloproliferative Disorders: Complications, Survival and Causes of Death. Ann. Hematol. 2000, 79, 312–318.","{""author"": ""S. Brodmann, J.R. Passweg, A. Gratwohl, A. Tichelli, R.C. Skoda"", ""journalName"": ""Ann. Hematol."", ""year"": 2000}"
3,"Kreipe, H.; Hussein, K.; Göhring, G.; Schlegelberger, B. Progression of Myeloproliferative Neoplasms to Myelofibrosis and Acute Leukaemia. J. Hematop. 2011, 4, 61–68.","{""author"": ""H. Kreipe, K. Hussein, G. G\u00f6hring, B. Schlegelberger"", ""journalName"": ""J. Hematop."", ""year"": 2011}"
4,"Deeg, H.J. Role of HSCT in Patients with MPD. Hematol. Oncol. Clin. N. Am. 2014, 18, 1023–1035.","{""author"": ""H.J. Deeg"", ""journalName"": ""Hematol. Oncol. Clin. N. Am."", ""year"": 2014}"
5,"Rumi, E.; Passamonti, F.; Della Porta, M.G.; Elena, C.; Arcaini, L.; Vanelli, L.; Del Curto, C.; Pietra, D.; Boveri, E.; Pascutto, C.; et al. Familial Chronic Myeloproliferative Disorders: Clinical Phenotype and Evidence of Disease Anticipation. J. Clin. Oncol. 2007, 25, 5630–5635.","{""author"": ""E. Rumi, F. Passamonti, M.G. Della Porta, C. Elena, L. Arcaini, L. Vanelli, C. Del Curto, D. Pietra, E. Boveri, C. Pascutto, et al."", ""journalName"": ""J. Clin. Oncol."", ""year"": 2007}"
6,"Elbracht, M.; Meyer, R.; Kricheldorf, K.; Gezer, D.; Eggermann, T.; Betz, B.; Kurth, I.; Teichmann, L.L.; Brümmendorf, T.H.; Germing, U.; et al. Germline Variants in DNA Repair Genes, Including BRCA1/2, May Cause Familial Myeloproliferative Neoplasms. Blood Adv. 2021, 5, 3373–3376.","{""author"": ""M. Elbracht, R. Meyer, K. Kricheldorf, D. Gezer, T. Eggermann, B. Betz, I. Kurth, L.L. Teichmann, T.H. Br\u00fcmmendorf, U. Germing, et al."", ""journalName"": ""Blood Adv."", ""year"": 2021}"
7,"Farmer, H.; McCabe, H.; Lord, C.J.; Tutt, A.H.J.; Johnson, D.A.; Richardson, T.B.; Santarosa, M.; Dillon, K.J.; Hickson, I.; Knights, C.; et al. Targeting the DNA Repair Defect in BRCA Mutant Cells as a Therapeutic Strategy. Nature 2005, 434, 917–921.","{""author"": ""H. Farmer, H. McCabe, C.J. Lord, A.H.J. Tutt, D.A. Johnson, T.B. Richardson, M. Santarosa, K.J. Dillon, I. Hickson, C. Knights, et al."", ""journalName"": ""Nature"", ""year"": 2005}"
8,"Bryant, H.E.; Schultz, N.; Thomas, H.D.; Parker, K.M.; Flower, D.; Lopez, E.; Kyle, S.; Meuth, M.; Curtin, N.J.; Helleday, T. Specific Killing of BRCA2-Deficient Tumours with Inhibitors of Poly(ADP-Ribose) Polymerase. Nature 2005, 434, 913–917.","{""author"": ""H.E. Bryant, N. Schultz, H.D. Thomas, K.M. Parker, D. Flower, E. Lopez, S. Kyle, M. Meuth, N.J. Curtin, T. Helleday"", ""journalName"": ""Nature"", ""year"": 2005}"
9,"Bridges, C.B. The Origin of Variations in Sexual and Sex-Limited Characters. Am. Nat. 1922, 56, 51–63.","{""author"": ""C.B. Bridges"", ""journalName"": ""Am. Nat."", ""year"": 1922}"
10,"Hartwell, L.H.; Szankasi, P.; Roberts, C.J.; Murray, A.W.; Friend, S.H. Integrating Genetic Approaches into the Discovery of Anticancer Drugs. Science 1997, 278, 1064–1068.","{""author"": ""L.H. Hartwell, P. Szankasi, C.J. Roberts, A.W. Murray, S.H. Friend"", ""journalName"": ""Science"", ""year"": 1997}"
11,"Buchholz, T.A.; Wu, X.; Hussain, A.; Tucker, S.L.; Mills, G.B.; Haffty, B.; Bergh, S.; Story, M.; Geara, F.B.; Brock, W.A. Evidence of Haplotype Insufficiency in Human Cells Containing a Germline Mutation in BRCA1 or BRCA2. Int. J. Cancer 2002, 97, 557–561.","{""author"": ""T.A. Buchholz, X. Wu, A. Hussain, S.L. Tucker, G.B. Mills, B. Haffty, S. Bergh, M. Story, F.B. Geara, W.A. Brock"", ""journalName"": ""Int. J. Cancer"", ""year"": 2002}"
